phase,trial_number,image_1,image_2,chosen,chosen_side,onset_timestamp,decision_timestamp,response_time_ms
main,64,Post_Impressionism_pyotr-konchalovsky_portrait-of-margot-1946,Realism_vasily-surikov_head-of-girl-portrait-of-z-s-khaminova-1908,Post_Impressionism_pyotr-konchalovsky_portrait-of-margot-1946,left,2026-03-12T17:38:21.627Z,2026-03-12T17:38:25.680Z,4053
main,65,Realism_odilon-redon_still-life,Realism_henri-fantin-latour_hydrangias-cloves-and-two-pots-of-pansies-1879,Realism_odilon-redon_still-life,left,2026-03-12T17:38:29.922Z,2026-03-12T17:38:33.227Z,3305
main,66,Rococo_dmitry-levitzky_alexander-lanskoy-1780,Post_Impressionism_paul-cezanne_ile-de-france-landscape-1880-1,Post_Impressionism_paul-cezanne_ile-de-france-landscape-1880-1,left,2026-03-12T17:38:37.161Z,2026-03-12T17:38:45.763Z,8602
main,67,Realism_boris-kustodiev_drawing-hand-to-the-picture-merchant-s-wife-1915,Cubism_theo-van-doesburg_composition-the-cow-7,Cubism_theo-van-doesburg_composition-the-cow-7,left,2026-03-12T17:38:50.199Z,2026-03-12T17:38:53.982Z,3783
main,68,Cubism_pablo-picasso_glass-bottle-packet-of-tobacco-1922,Cubism_patrick-caulfield_the-blue-posts-1989,Cubism_pablo-picasso_glass-bottle-packet-of-tobacco-1922,right,2026-03-12T17:38:57.437Z,2026-03-12T17:39:07.676Z,10239
main,69,Realism_vasily-polenov_the-nile-1881,Realism_vincent-van-gogh_beach-and-sea-1882(1),Realism_vasily-polenov_the-nile-1881,left,2026-03-12T17:39:11.802Z,2026-03-12T17:39:18.664Z,6862
main,70,Rococo_fyodor-rokotov_portrait-of-n-e-struisky,Realism_vincent-van-gogh_head-of-a-woman-1884,Rococo_fyodor-rokotov_portrait-of-n-e-struisky,left,2026-03-12T17:41:32.349Z,2026-03-12T17:41:36.761Z,4412
main,71,Realism_vincent-van-gogh_beach-and-sea-1882(1),Rococo_george-morland_sea-coast-scene-smugglers-1793,Rococo_george-morland_sea-coast-scene-smugglers-1793,left,2026-03-12T17:41:40.694Z,2026-03-12T17:41:42.945Z,2251
main,72,Cubism_vladimir-tatlin_the-sailor-self-portrait-1912,Cubism_man-ray_portrait-of-alfred-stieglitz-1913,Cubism_vladimir-tatlin_the-sailor-self-portrait-1912,left,2026-03-12T17:41:46.938Z,2026-03-12T17:41:53.133Z,6195
main,73,Cubism_charles-sheeler_still-life-1925,Cubism_auguste-herbin_still-life-with-oranges-1911,Cubism_auguste-herbin_still-life-with-oranges-1911,left,2026-03-12T17:41:57.283Z,2026-03-12T18:10:03.423Z,1686140
main,74,Rococo_william-hogarth_miss-mary-edwards-1742,Rococo_vladimir-borovikovsky_varvara-andreyevna-tomilova,Rococo_vladimir-borovikovsky_varvara-andreyevna-tomilova,right,2026-03-12T18:10:08.187Z,2026-03-12T18:10:14.548Z,6361
main,75,Realism_ivan-kramskoy_portarait-of-philosopher-vladimir-solovyov-1885,Rococo_joshua-reynolds_augustus-keppel-1783,Rococo_joshua-reynolds_augustus-keppel-1783,right,2026-03-12T18:10:18.093Z,2026-03-12T18:10:23.059Z,4966
main,76,Realism_pyotr-konchalovsky_two-standing-models-1934,Post_Impressionism_paul-gauguin_words-of-the-devil-1892,Realism_pyotr-konchalovsky_two-standing-models-1934,left,2026-03-12T18:10:26.302Z,2026-03-12T18:10:30.034Z,3732
main,77,Rococo_george-morland_sea-coast-scene-smugglers-1793,Rococo_george-morland_the-smugglers-1792,Rococo_george-morland_sea-coast-scene-smugglers-1793,left,2026-03-12T18:10:33.963Z,2026-03-12T18:10:37.739Z,3777
main,78,Rococo_canaletto_the-brenta-canal-at-padua,Rococo_bernardo-bellotto_pirna-seen-from-the-right-bank-of-the-elbe,Rococo_bernardo-bellotto_pirna-seen-from-the-right-bank-of-the-elbe,right,2026-03-12T18:10:41.338Z,2026-03-12T18:10:47.439Z,6101
main,79,Post_Impressionism_vincent-van-gogh_landscape-with-the-chateau-of-auvers-at-sunset-1890,Post_Impressionism_gustave-loiseau_by-the-eure-river-in-summer-1902-1,Post_Impressionism_gustave-loiseau_by-the-eure-river-in-summer-1902-1,left,2026-03-12T18:10:51.576Z,2026-03-12T18:11:02.079Z,10504
main,80,Realism_ivan-shishkin_stream-1883,Realism_nicholas-roerich_plitnaia-hill-1893,Realism_nicholas-roerich_plitnaia-hill-1893,left,2026-03-12T18:11:25.021Z,2026-03-12T18:11:27.513Z,2492
main,81,Realism_james-tissot_the-woman-of-fashion-la-mondaine-1885,Realism_frederic-remington_signaling-the-main-command-1885,Realism_james-tissot_the-woman-of-fashion-la-mondaine-1885,left,2026-03-12T18:11:31.414Z,2026-03-12T18:11:33.622Z,2208
main,82,Realism_vasily-vereshchagin_after-failure-1868,Realism_vasily-surikov_the-good-samaritan-1874,Realism_vasily-vereshchagin_after-failure-1868,right,2026-03-12T18:11:38.071Z,2026-03-12T18:11:40.273Z,2202
main,83,Post_Impressionism_paul-cezanne_ile-de-france-landscape-1880-1,Realism_henri-fantin-latour_a-carafe-of-wine-and-plate-of-fruit-on-a-white-tablecloth-1865,Realism_henri-fantin-latour_a-carafe-of-wine-and-plate-of-fruit-on-a-white-tablecloth-1865,right,2026-03-12T18:11:45.440Z,2026-03-12T18:11:50.989Z,5549
main,84,Rococo_hubert-robert_projet-d-am-nagement-de-la-grande-galerie-du-louvre-1796,Rococo_bernardo-bellotto_a-view-in-venice-from-the-punta-della-dogana-towards-san-giorgio-maggiore,Rococo_hubert-robert_projet-d-am-nagement-de-la-grande-galerie-du-louvre-1796,right,2026-03-12T18:11:55.624Z,2026-03-12T18:12:00.090Z,4466
main,85,Post_Impressionism_vincent-van-gogh_dr-paul-gachet-1890(1),Post_Impressionism_pierre-bonnard_girl-playing-with-a-dog-vivette-terrasse-1913,Post_Impressionism_vincent-van-gogh_dr-paul-gachet-1890(1),left,2026-03-12T18:12:05.000Z,2026-03-12T18:12:10.823Z,5823
main,86,Cubism_charles-sheeler_still-life-1925,Rococo_george-morland_morning-the-benevolent-sportsman-1792,Rococo_george-morland_morning-the-benevolent-sportsman-1792,left,2026-03-12T18:12:15.648Z,2026-03-12T18:12:19.574Z,3926
main,87,Cubism_theo-van-doesburg_composition-the-cow-7,Realism_albert-bierstadt_butterfly-1900,Cubism_theo-van-doesburg_composition-the-cow-7,right,2026-03-12T18:12:24.761Z,2026-03-12T18:12:28.149Z,3388
main,88,Cubism_fernand-leger_women-with-mirror-1920,Realism_nicholas-roerich_plitnaia-hill-1893,Realism_nicholas-roerich_plitnaia-hill-1893,right,2026-03-12T18:12:32.955Z,2026-03-12T18:12:36.827Z,3872
main,89,Rococo_thomas-gainsborough_mr-coke-of-brookhill,Rococo_john-russell_lieutenant-colonel-thomas-lloyd-1751-1828-colonel-of-the-leeds-volunteers-1801,Rococo_john-russell_lieutenant-colonel-thomas-lloyd-1751-1828-colonel-of-the-leeds-volunteers-1801,right,2026-03-12T18:12:47.107Z,2026-03-12T18:12:53.084Z,5977
main,90,Post_Impressionism_ilya-mashkov_roses-and-carnations-1939,Realism_henri-fantin-latour_a-carafe-of-wine-and-plate-of-fruit-on-a-white-tablecloth-1865,Realism_henri-fantin-latour_a-carafe-of-wine-and-plate-of-fruit-on-a-white-tablecloth-1865,left,2026-03-12T18:13:15.116Z,2026-03-12T18:13:17.008Z,1892
main,91,Post_Impressionism_gwen-john_the-convalescent-1924,Post_Impressionism_gwen-john_girl-in-a-mulberry-dress,Post_Impressionism_gwen-john_the-convalescent-1924,left,2026-03-12T18:13:22.082Z,2026-03-12T18:13:25.504Z,3422
main,92,Realism_john-singer-sargent_the-misses-vickers-1884,Realism_john-everett-millais_a-jersey-lily-portrait-of-lillie-langtry,Realism_john-everett-millais_a-jersey-lily-portrait-of-lillie-langtry,right,2026-03-12T18:13:31.122Z,2026-03-12T18:13:36.121Z,4999
main,93,Realism_henri-fantin-latour_hollyhocks-1892,Realism_henri-fantin-latour_chrysanthemums-1889,Realism_henri-fantin-latour_hollyhocks-1892,left,2026-03-12T18:13:41.664Z,2026-03-12T18:13:44.831Z,3167
main,94,Realism_vincent-van-gogh_still-life-with-basket-of-apples-1885,Post_Impressionism_pablo-picasso_still-life-with-vases-1906,Realism_vincent-van-gogh_still-life-with-basket-of-apples-1885,left,2026-03-12T18:13:49.961Z,2026-03-12T18:13:52.285Z,2324
main,95,Cubism_theo-van-doesburg_composition-the-cow-7,Realism_nicholas-roerich_plitnaia-hill-1893,Realism_nicholas-roerich_plitnaia-hill-1893,right,2026-03-12T18:13:56.821Z,2026-03-12T18:13:58.968Z,2147
main,96,Rococo_hubert-robert_studio-of-an-antiquities-restorer-in-rome-1783,Realism_pavel-fedotov_not-detected-270365,Rococo_hubert-robert_studio-of-an-antiquities-restorer-in-rome-1783,right,2026-03-12T18:14:03.889Z,2026-03-12T18:14:08.239Z,4350
main,97,Realism_john-singer-sargent_kneeling-model,Post_Impressionism_vincent-van-gogh_standing-female-nude-seen-from-the-back,Post_Impressionism_vincent-van-gogh_standing-female-nude-seen-from-the-back,left,2026-03-12T18:14:12.591Z,2026-03-12T18:14:15.792Z,3201
main,98,Rococo_giovanni-battista-tiepolo_apollo-and-marsyas,Realism_eugene-boudin_beach-scene-trouville-1864-1,Realism_eugene-boudin_beach-scene-trouville-1864-1,left,2026-03-12T18:14:20.169Z,2026-03-12T18:14:28.729Z,8560
main,99,Rococo_william-hogarth_times-of-the-day-evening,Realism_vasily-polenov_jerusalem-from-the-west-jaffa-gate-and-the-citadel-1882,Realism_vasily-polenov_jerusalem-from-the-west-jaffa-gate-and-the-citadel-1882,right,2026-03-12T18:14:33.124Z,2026-03-12T18:14:37.329Z,4205
main,100,Cubism_juan-gris_the-table-in-front-of-the-picture-1926,Cubism_aristarkh-lentulov_portrait-of-the-regisseur-alexander-tairov-1920,Cubism_juan-gris_the-table-in-front-of-the-picture-1926,right,2026-03-12T18:15:03.027Z,2026-03-12T18:15:10.187Z,7160
main,101,Rococo_giovanni-battista-tiepolo_apollo-and-the-continents-1753,Rococo_william-hogarth_surrounded-by-artists-and-professors,Rococo_giovanni-battista-tiepolo_apollo-and-the-continents-1753,left,2026-03-12T18:15:14.954Z,2026-03-12T18:15:19.630Z,4676
main,102,Cubism_peter-busa_new-york-times-1945,Post_Impressionism_vincent-van-gogh_dr-paul-gachet-1890(1),Post_Impressionism_vincent-van-gogh_dr-paul-gachet-1890(1),left,2026-03-12T18:15:24.375Z,2026-03-12T18:15:26.451Z,2076
